Date,Holiday Name,Information,Applicable To
20190422,Easter Monday,Public Holiday as part of Easter.,sa
20190425,Anzac Day,Celebrated on the 25 April each year.,sa
20190610,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,sa
20191007,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",sa
20191224,Christmas Eve,Part-day public holiday from 7pm-12 midnight,sa
20191225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,sa
20191226,Proclamation Day ,Occurs the day after Christmas Day.,sa
20191231,New Year's Eve,Part-day public holiday from 7pm-12 midnight,sa
20190101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,tas
20190128,Australia Day,Always celebrated on 26 January,tas
20190211,Royal Hobart Regatta,A three-day event that runs over the weekend of the second Monday each February.,tas
20190311,Eight Hours Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",tas
20190419,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,tas
20190422,Easter Monday,Public Holiday as part of Easter.,tas
20190423,Easter Tuesday,Public Holiday currently observed by certain awards/agreements and the State Public Service,tas
20190425,Anzac Day,Celebrated on the 25 April each year.,tas
20190610,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,tas
20191225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,tas
20191226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,tas
20190101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,vic
20190128,Australia Day,Always celebrated on 26 January,vic
20190311,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",vic
20190419,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,vic
20190420,Saturday before Easter Sunday,Easter Saturday is between Good Friday and Easter Sunday in Australia.,vic
20190421,Easter Sunday,Public Holiday as part of Easter.,vic
20190422,Easter Monday,Public Holiday as part of Easter.,vic
20190425,Anzac Day,Celebrated on the 25 April each year.,vic
20190610,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,vic
20190927,Friday before AFL Grand Final,Friday before the AFL Grand Final,vic
20191105,Melbourne Cup,All of Victoria unless alternate local holiday has been arranged by non-metro council.,vic
20191225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,vic
20191226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,vic
20190101,New Year's Day,New Year's Day is the first day of the calendar year and is celebrated each January 1st,wa
20190128,Australia Day,Always celebrated on 26 January,wa
20190304,Labour Day,"Always on a Monday, creating a long weekend. It celebrates the eight-hour working day, a victory for workers in the mid-late 19th century.",wa
20190419,Good Friday,Easter is celebrated with Good Friday and Easter Monday creating a 4 day long weekend.,wa
20190422,Easter Monday,Public Holiday as part of Easter.,wa
20190425,Anzac Day,Celebrated on the 25 April each year.,wa
20190603,Western Australia Day,Held on the first Monday in June each year and is a state holiday only.,wa
20190930,Queen's Birthday,Celebrated on second Monday in June except in Western Australia and Queensland.,wa
20191225,Christmas Day,Christmas Day is an annual holiday which celebrates the birth of Jesus Christ over 2000 years ago.,wa
20191226,Boxing Day,Boxing Day occurs the day after Christmas. Sydney-to-Hobart yacht race and Boxing Day Test Match (Cricket) start on this day.,wa
